Date,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,y
2023-01-17-17:02:45,0,0,0,0,0,0,0,0,0,0,0,1.01247871905158
2023-01-17-17:02:46,0,1,1,0,1,1,1,0,0,0,1,1.01673215551686
2023-01-17-17:02:47,0,1,0,1,1,0,1,1,1,0,0,-0.2886205177613
2023-01-17-17:02:49,1,0,1,1,0,1,1,1,0,0,0,1.11410710057986
2023-01-17-17:02:50,1,0,1,1,1,0,0,0,1,0,1,-0.580779778983237
2023-01-17-17:02:51,1,0,0,0,1,0,1,1,0,1,1,0.422625293317924
2023-01-17-17:02:52,1,1,0,0,0,1,0,1,1,0,1,-1.57564264972442
2023-01-17-17:02:53,0,1,1,1,0,0,0,1,0,1,1,2.01153657627263
2023-01-17-17:02:54,1,1,1,0,0,0,1,0,1,1,0,-1.58112620528367
2023-01-17-17:02:55,0,0,0,1,0,1,1,0,1,1,1,-0.284968181010054
2023-01-17-17:02:56,0,0,1,0,1,1,0,1,1,1,0,-0.984212698934151
2023-01-17-17:02:57,1,1,0,1,1,1,0,0,0,1,0,1.41959777936024
2023-01-17-17:02:58,0,1,1,0,1,1,1,0,0,0,1,1.0167499271441
2023-01-17-17:02:59,0,0,0,0,0,0,0,0,0,0,0,1.01298978664014
2023-01-17-17:03:00,0,0,1,0,1,1,0,1,1,1,0,-0.980289981694121
2023-01-17-17:03:01,1,1,0,0,0,1,0,1,1,0,1,-1.58027903712063
2023-01-17-17:03:02,1,0,0,0,1,0,1,1,0,1,1,0.417823277212014
2023-01-17-17:03:03,1,1,0,1,1,1,0,0,0,1,0,1.42458872596959
2023-01-17-17:03:04,1,0,1,1,0,1,1,1,0,0,0,1.11801710639508
2023-01-17-17:03:05,1,0,1,1,1,0,0,0,1,0,1,-0.581833434421162
2023-01-17-17:03:06,0,0,0,1,0,1,1,0,1,1,1,-0.284155306065098
2023-01-17-17:03:07,0,1,0,1,1,0,1,1,1,0,0,-0.288747447096079
2023-01-17-17:03:08,1,1,1,0,0,0,1,0,1,1,0,-1.57804193088816
2023-01-17-17:03:09,0,1,1,1,0,0,0,1,0,1,1,2.01333928207903
2023-01-17-17:03:10,1,1,0,0,0,1,0,1,1,0,1,-1.58073325420935
2023-01-17-17:03:11,0,0,0,1,0,1,1,0,1,1,1,-0.283573232912231
2023-01-17-17:03:12,0,1,1,0,1,1,1,0,0,0,1,1.0173906677361
2023-01-17-17:03:13,1,0,0,0,1,0,1,1,0,1,1,0.416822420266281
2023-01-17-17:03:14,1,0,1,1,1,0,0,0,1,0,1,-0.580152845056482
2023-01-17-17:03:15,0,0,1,0,1,1,0,1,1,1,0,-0.983788396449102
2023-01-17-17:03:16,1,1,0,1,1,1,0,0,0,1,0,1.41974079917073
2023-01-17-17:03:17,1,1,1,0,0,0,1,0,1,1,0,-1.58017148012973
2023-01-17-17:03:18,0,1,1,1,0,0,0,1,0,1,1,2.01792660851223
2023-01-17-17:03:19,1,0,1,1,0,1,1,1,0,0,0,1.12313974985936
2023-01-17-17:03:20,0,1,0,1,1,0,1,1,1,0,0,-0.286278078155838
2023-01-17-17:03:21,0,0,0,0,0,0,0,0,0,0,0,1.01385766631687
2023-01-17-17:03:22,1,0,1,1,0,1,1,1,0,0,0,1.12145609309409
2023-01-17-17:03:23,0,1,1,0,1,1,1,0,0,0,1,1.01461965158731
2023-01-17-17:03:24,0,0,0,1,0,1,1,0,1,1,1,-0.282256051900346
2023-01-17-17:03:25,1,1,0,0,0,1,0,1,1,0,1,-1.57838558663508
2023-01-17-17:03:26,0,1,0,1,1,0,1,1,1,0,0,-0.282281338189616
2023-01-17-17:03:27,0,0,0,0,0,0,0,0,0,0,0,1.01517581810341
2023-01-17-17:03:28,1,0,1,1,1,0,0,0,1,0,1,-0.579463253912716
2023-01-17-17:03:29,1,0,0,0,1,0,1,1,0,1,1,0.420757540905875
2023-01-17-17:03:30,0,0,1,0,1,1,0,1,1,1,0,-0.984018828585775
2023-01-17-17:03:31,1,1,1,0,0,0,1,0,1,1,0,-1.57924358801611
2023-01-17-17:03:32,1,1,0,1,1,1,0,0,0,1,0,1.4219595743988
2023-01-17-17:03:33,0,1,1,1,0,0,0,1,0,1,1,2.01380495104132
